Vector3 { x: 0.8801509, y: 0.14886639, z: 3.113046 }
Vector3 { x: 0.9206519, y: 0.16897124, z: 3.100279 }
Vector3 { x: 0.9605757, y: 0.1901991, z: 3.0869079 }
Vector3 { x: 0.9998912, y: 0.21253344, z: 3.0729349 }
Vector3 { x: 1.041761, y: 0.22143315, z: 3.058363 }
Vector3 { x: 1.0834278, y: 0.2302897, z: 3.0431945 }
Vector3 { x: 1.1248833, y: 0.23910134, z: 3.027433 }
Vector3 { x: 1.1661196, y: 0.24786636, z: 3.0110812 }
Vector3 { x: 1.2071284, y: 0.25658306, z: 2.9941423 }
Vector3 { x: 1.247902, y: 0.26524976, z: 2.9766197 }
Vector3 { x: 1.2884322, y: 0.27386475, z: 2.958517 }
Vector3 { x: 1.3287114, y: 0.28242633, z: 2.9398375 }
Vector3 { x: 1.3687314, y: 0.29093283, z: 2.9205847 }
Vector3 { x: 1.4084847, y: 0.29938266, z: 2.9007626 }
Vector3 { x: 1.4479632, y: 0.3077741, z: 2.880375 }
Vector3 { x: 1.4871596, y: 0.31610554, z: 2.8594258 }
